Latitude,Longitude,Sample Date,pet,ppt,soil,aet,water_deficit
-28.760833,17.730278,02-01-2011,174.2,32.7,0.0,31.1,143.09999961853026
-26.861111,28.884722,03-01-2011,124.1,51.1,12.8,53.8,70.30000076293945
-26.45,28.085833,03-01-2011,127.5,62.7,6.8,60.8,66.70000076293945
-27.671111,27.236944,03-01-2011,129.7,84.2,7.2000003,83.200005,46.49999542236327
-27.356667,27.286389,03-01-2011,129.2,78.0,7.8,77.3,51.899996948242176
-27.01011111,26.69808333,04-01-2011,98.6,106.0,5.9,98.6,1.5258789005656581e-06
-25.127778,27.628889,04-01-2011,105.5,135.1,24.0,105.5,0.0
-25.20639,27.558,04-01-2011,103.700005,143.4,33.600002,103.700005,4.223632856792392e-07
-24.69514,27.40906,04-01-2011,111.8,141.1,23.6,111.8,-3.051757815342171e-06
-26.98472222,26.63227778,04-01-2011,98.200005,109.3,10.7,98.200005,4.223632856792392e-07
-28.141944,26.417778,04-01-2011,93.8,90.9,4.8,87.700005,6.099995422363278
-27.398611,26.614722,04-01-2011,100.9,97.2,2.9,92.700005,8.199995422363287
-33.501667,21.624167,04-01-2011,100.200005,16.3,0.1,15.5,84.700005
-32.502778,19.535833,04-01-2011,119.9,16.2,0.6,15.400001,104.49999942779542
-25.45963889,28.26430556,04-01-2011,103.6,141.9,32.5,103.6,1.5258789005656581e-06
-27.495556,26.074722,04-01-2011,99.700005,99.5,0.4,94.5,5.200005000000004
-26.648056,27.089444,05-01-2011,83.5,63.3,12.2,70.5,13.0
-26.970278,27.211111,05-01-2011,82.1,66.7,14.900001,72.5,9.599999999999994
-27.38972222,26.46388889,05-01-2011,83.200005,97.4,9.7,83.200005,4.223632856792392e-07
-27.044444,27.005,05-01-2011,82.4,74.60000000000001,13.0,75.6,6.800001525878912
-30.830556,26.921389,06-01-2011,57.0,54.1,8.0,53.100002,3.8999977111816406
-27.00222,28.76528,06-01-2011,70.0,26.4,15.6,37.100002,32.89999771118164
-27.02314,28.59389,06-01-2011,72.4,27.0,13.5,32.600002,39.799997711181646
-30.679722,26.7125,06-01-2011,59.8,44.900000000000006,5.1,44.4,15.399998474121091
-30.160091,27.40124,06-01-2011,57.4,53.8,15.900001,54.0,3.3999999999999986
-32.595833,19.009444,06-01-2011,52.7,73.2,19.1,52.7,-7.629394502828291e-07
-25.99136,27.84208,10-01-2011,173.2,48.0,6.3,46.7,126.49999923706054
-26.73806,27.59194,10-01-2011,179.40001,39.5,5.3,38.5,140.90001
-26.45,28.085833,10-01-2011,172.90001,45.3,5.6,43.9,129.0000084741211
-30.86013889,29.07125,10-01-2011,138.0,28.8,9.900001,30.1,107.89999961853027
-27.356667,27.286389,10-01-2011,185.8,31.6,3.7,30.5,155.3
-27.01011111,26.69808333,11-01-2011,191.7,44.3,2.3,42.3,149.40000076293944
-25.73411,27.21422,11-01-2011,182.5,56.2,5.6,54.2,128.29999923706055
-26.98472222,26.63227778,11-01-2011,192.0,44.3,2.7,42.4,149.5999984741211
-27.398611,26.614722,11-01-2011,197.40001,45.2,2.7,43.2,154.20000923706056
-27.671111,27.236944,11-01-2011,192.1,42.2,2.9,40.5,151.6
-29.160278,26.573333,11-01-2011,199.1,29.5,2.7,28.4,170.70000038146972
-34.250556,20.9925,11-01-2011,140.2,51.900000000000006,12.3,52.8,87.40000076293944
-25.45963889,28.26430556,11-01-2011,182.8,54.2,5.7000003,52.2,130.59999923706056
-25.81048333,27.90955222,12-01-2011,164.1,100.5,5.1,96.1,68.0000015258789
-27.273889,28.49,12-01-2011,164.3,104.7,4.4,100.1,64.20000152587892
-27.4275,28.525833,12-01-2011,163.6,107.7,3.8,102.8,60.79999694824218
-28.883333,27.89,12-01-2011,164.2,105.8,3.3,101.0,63.19999999999999
-27.00222,28.76528,13-01-2011,161.6,95.4,5.0,91.200005,70.39999542236328
-27.02314,28.59389,13-01-2011,163.1,97.6,4.8,93.3,69.79999694824218
-30.534167,24.961944,13-01-2011,205.0,44.900000000000006,0.0,42.600002,162.39999771118164
-28.460833,21.248889,13-01-2011,244.7,52.3,0.0,49.600002,195.09999771118163
-29.658056,25.973333,14-01-2011,186.90001,71.0,2.2,67.700005,119.20000542236329
-28.760833,17.730278,16-01-2011,257.5,1.3,0.0,1.2,256.2999999523163
-25.513889,31.224444,17-01-2011,149.40001,105.8,13.2,102.200005,47.20000542236329
-26.861111,28.884722,17-01-2011,161.0,89.0,5.2000003,85.200005,75.79999542236328
-31.554722,29.245556,17-01-2011,123.700005,106.2,36.100002,115.3,8.400001948242192
-28.058889,30.373611,17-01-2011,158.0,99.6,4.2000003,95.0,63.0
-25.127778,27.628889,18-01-2011,169.3,112.2,6.1,107.1,62.20000152587892
-25.20639,27.558,18-01-2011,170.0,112.9,6.5,108.0,62.0
-24.69514,27.40906,18-01-2011,172.90001,121.0,7.0,115.6,57.300011525878915
-25.681111,31.783333,18-01-2011,149.2,65.4,10.7,63.100002,86.09999771118163
-27.802778,28.768333,18-01-2011,159.1,107.8,3.3,102.8,56.29999694824218
